GeneID,Symbol,Score,P-value
23504,RIMBP2,0.577682536,0.000464647
3688,ITGB1,-0.478574787,0.000473823
1476,CSTB,-0.928732184,0.000475605
8577,TMEFF1,-0.547736326,0.000476255
84889,SLC7A3,-1.393231103,0.000476946
1955,MEGF9,0.597151538,0.000479097
8801,SUCLG2,0.914798139,0.000484716
5108,PCM1,0.522983967,0.000486479
254778,VXN,-0.515701131,0.000486853
1000,CDH2,0.477335542,0.000487904
130612,TMEM198,-0.590810434,0.000489699
9475,ROCK2,-0.612947404,0.000503417
10397,NDRG1,-0.758849197,0.000512464
1847,DUSP5,-1.241325912,0.000519108
2717,GLA,-0.853197185,0.000520305
85439,STON2,0.812515406,0.000526693
8227,AKAP17A,-0.69831952,0.000530709
56171,DNAH7,1.681998535,0.000534092
5900,RALGDS,0.534423962,0.000535305
54677,CROT,0.583879397,0.00054246
2043,EPHA4,0.473696476,0.000543747
3073,HEXA,-0.586671269,0.000546603
6863,TAC1,-0.926798177,0.000548119
80303,EFHD1,1.749982925,0.000552393
7187,TRAF3,0.506144876,0.00055512
53616,ADAM22,0.475394114,0.000558386
9254,CACNA2D2,0.634612616,0.000561548
23329,TBC1D30,0.572209144,0.000564947
6696,SPP1,-1.363760784,0.000565087
376497,SLC27A1,0.645848533,0.000566047
7803,PTP4A1,-0.74020217,0.000575781
2066,ERBB4,0.500359177,0.000580608
79006,METRN,0.682906856,0.000597344
11186,RASSF1,-0.992502401,0.000606066
27087,B3GAT1,0.460983331,0.000608979
5727,PTCH1,0.671328098,0.000612988
3033,HADH,0.726055417,0.00061323
23213,SULF1,-0.610350936,0.000625717
7043,TGFB3,-0.762831387,0.000627776
54769,DIRAS2,-0.497049586,0.000635029
6540,SLC6A13,1.75403092,0.00063618
4069,LYZ,-1.539109672,0.000637854
481,ATP1B1,-0.4151206,0.000639423
10253,SPRY2,-0.583544548,0.000650269
2261,FGFR3,0.635771996,0.000652102
5050,PAFAH1B3,-0.907945427,0.000657817
960,CD44,-0.808665323,0.000663112
284,ANGPT1,0.697072563,0.000665289
6513,SLC2A1,-0.86074368,0.000674021
64112,MOAP1,-0.889301377,0.000687915
58499,ZNF462,0.646123412,0.000689399
9289,ADGRG1,0.797531596,0.000707427
5817,PVR,-1.084275148,0.000713425
170691,ADAMTS17,0.930969419,0.00071609
81792,ADAMTS12,1.756915153,0.000721099
9256,TSPOAP1,0.55370836,0.00072883
374887,YJEFN3,-0.939829559,0.000730106
256987,SERINC5,0.660349087,0.000735001
10856,RUVBL2,-0.639088589,0.000737978
83862,TMEM120A,-0.93008447,0.000742209
3479,IGF1,-0.715460252,0.000742854
2346,FOLH1,1.336627131,0.000743874
5080,PAX6,0.916197006,0.000748922
23210,JMJD6,-0.756523304,0.000754404
81544,GDPD5,-0.816768303,0.000763328
30844,EHD4,-0.937073567,0.000774012
84058,WDR54,-0.95955896,0.000784361
885,CCK,-0.689446,0.000788229
29950,SERTAD1,-1.150800472,0.000797193
460,ASTN1,0.436575403,0.00080473
311,ANXA11,-0.95908379,0.000808285
399473,SPRED3,-0.723641259,0.000810319
9781,RNF144A,0.735916347,0.000820854
4430,MYO1B,-0.808889602,0.000832245
394,ARHGAP5,0.463622496,0.000836817
23753,SDF2L1,-0.925968646,0.000841413
5010,CLDN11,-1.886018162,0.000842453
127833,SYT2,0.809722754,0.000842573
357,SHROOM2,0.635663761,0.000844145
4915,NTRK2,0.664361158,0.000855472
80206,FHOD3,-0.642477403,0.00085933
8666,EIF3G,-0.649578165,0.000860263
51669,SARAF,-0.44038473,0.000864431
388662,SLC6A17,-0.738511899,0.00086795
57528,KCTD16,0.505943584,0.000868691
2794,GNL1,-0.49236237,0.000869635
4851,NOTCH1,0.948742603,0.000888555
57605,PITPNM2,0.539707891,0.000893874
5518,PPP2R1A,-0.421916366,0.000925181
51068,NMD3,-0.746630057,0.000927249
121512,FGD4,0.558700015,0.000939419
80148,SLC66A2,-0.770316472,0.00094058
2023,ENO1,-0.450968933,0.000945757
6262,RYR2,0.532804831,0.0009558
5325,PLAGL1,-0.586230744,0.001000987
3956,LGALS1,-0.983071117,0.001014801
4052,LTBP1,-1.258684791,0.001014846
10493,VAT1,-0.581692171,0.001021435
84376,HOOK3,0.541836975,0.001023659
1290,COL5A2,-0.564458791,0.001031285
10516,FBLN5,-0.665286181,0.00104401
222553,SLC35F1,0.507726244,0.001045552
10446,LRRN2,0.536931118,0.001059971
3738,KCNA3,0.961340836,0.001061509
347252,IGFBPL1,-1.155548304,0.001073352
10162,LPCAT3,0.817975729,0.0010829
1756,DMD,0.601178687,0.001085823
79827,CLMP,-0.634480043,0.00109189
11098,PRSS23,-0.61854333,0.001091992
4985,OPRD1,0.76577831,0.001102537
3678,ITGA5,-1.274468335,0.001112919
51704,GPRC5B,0.556911094,0.00112896
64065,PERP,-0.947191088,0.001134359
10797,MTHFD2,-0.937788911,0.001134836
5270,SERPINE2,0.433221001,0.001145653
57460,PPM1H,-0.578471347,0.001145778
120,ADD3,0.463287629,0.001147277
3159,HMGA1,-1.036262636,0.001148236
84957,RELT,-1.291393487,0.001159549
140710,MTCL2,0.630922781,0.001187228
134111,UBE2QL1,-0.431786098,0.001194805
23090,ZNF423,0.934556409,0.001198167
1040,CDS1,-0.503366458,0.001204425
80818,ZNF436,0.485035229,0.001207976
23423,TMED3,-0.736293191,0.001208583
147670,SMIM17,1.033423955,0.001213555
11244,ZHX1,0.588127117,0.001235441
1519,CTSO,0.644219891,0.001263706
651,BMP3,-0.774550681,0.001283237
2114,ETS2,-0.650139082,0.001284523
29906,ST8SIA5,-0.653135946,0.001298233
4139,MARK1,-0.502764943,0.00130142
8784,TNFRSF18,-2.225273466,0.00131196
2890,GRIA1,0.401028814,0.001315355
9260,PDLIM7,-0.864268924,0.001321969
4240,MFGE8,0.507198522,0.001323906
26012,NSMF,-0.412443484,0.001326065
4784,NFIX,0.521046404,0.001327633
11116,CEP43,-0.835305461,0.001330507
54437,SEMA5B,0.883596642,0.001361246
651746,ANKRD33B,-0.719482666,0.001376085
3133,HLA-E,-2.028946946,0.001402292
